# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	47733
#@/user_id	macOS
bang zhu 	幫主	c=19 d=1.52237e-18 t=47733
bao 	保	c=1 d=1.74937e-50 t=47733
bao 	包	c=73 d=0.0169325 t=47733
bao 	報	c=12 d=0.0737701 t=47733
bao 	寶	c=6 d=1.95019e-05 t=47733
bao bao 	寶寶	c=2 d=9.49743e-12 t=47733
bao bei 	寶貝	c=4 d=2.98299e-05 t=47733
bao biao 	報表	c=2 d=4.19171e-28 t=47733
bao chi 	保持	c=1 d=1.77243e-57 t=47733
bao chuo 	包戳	c=1 d=7.76476e-54 t=47733
bao cun 	保存	c=34 d=8.84891e-16 t=47733
bao cun dao 	保存到	c=2 d=1.36073e-57 t=47733
bao cuo 	報錯	c=9 d=3.33773e-07 t=47733
bao cuo de 	報錯的	c=1 d=4.09874e-08 t=47733
bao ding 	保定	c=14 d=2.67716e-20 t=47733
bao ga 	包噶	c=1 d=2.67491e-46 t=47733
bao gao 	報告	c=535 d=5.87079 t=47733
bao gao cuo 	報告錯	c=1 d=3.65026e-27 t=47733
bao gao liang 	報告量	c=1 d=7.83079e-36 t=47733
bao gong 	報功	c=1 d=7.44761e-34 t=47733
bao han 	包含	c=8 d=3.08179e-06 t=47733
bao han 	包涵	c=1 d=4.37923e-22 t=47733
bao han 	飽含	c=1 d=4.35738e-22 t=47733
bao han tu pian 	飽含圖片	c=1 d=6.03383e-28 t=47733
bao hu qu 	保護區	c=1 d=1.82901e-15 t=47733
bao ji 	寶雞	c=3 d=3.13913e-17 t=47733
bao jian 	保健	c=1 d=2.04767e-20 t=47733
bao kuo 	包括	c=9 d=0.00030659 t=47733
bao liu 	保留	c=2 d=2.98089e-17 t=47733
bao xian 	保險	c=4 d=8.92884e-21 t=47733
bao xian 	保鮮	c=1 d=7.43495e-14 t=47733
bao xiao 	報銷	c=5 d=0.0234283 t=47733
bao yu 	暴雨	c=1 d=0.000181365 t=47733
bao zheng 	保證	c=3 d=1.19655e-06 t=47733
bao zi 	包子	c=2 d=1.39961e-14 t=47733
bao zi dian 	包子店	c=2 d=2.47838e-20 t=47733
bei 	倍	c=1 d=8.25807e-14 t=47733
bei 	備	c=5 d=0.241714 t=47733
bei 	北	c=3 d=9.35762e-14 t=47733
bei 	唄	c=5 d=3.40706e-10 t=47733
bei 	被	c=17 d=0.0753961 t=47733
bei an 	備案	c=2 d=1.52034e-55 t=47733
bei bao 	背包	c=14 d=3.3045 t=47733
bei dong 	被動	c=1 d=1.8576e-21 t=47733
bei fen 	備份	c=4 d=2.02172e-17 t=47733
bei hou 	背後	c=1 d=6.39584e-37 t=47733
bei jing 	北京	c=8 d=2.06649e-10 t=47733
bei jing 	背景	c=16 d=2.05674e-10 t=47733
bei jing se 	背景色	c=2 d=0.357266 t=47733
bei ku 	備庫	c=7 d=2.39475e-05 t=47733
bei shang 	悲傷	c=1 d=2.82038e-22 t=47733
bei wang 	備忘	c=1 d=0.0149956 t=47733
bei wang lu 	備忘錄	c=4 d=1.26604 t=47733
bei wo 	被我	c=1 d=5.19249e-26 t=47733
bei zhu 	備註	c=7 d=1.27009e-11 t=47733
bei zi 	杯子	c=1 d=1.42512e-50 t=47733
bei zi 	被子	c=1 d=1.41801e-50 t=47733
ben 	本	c=5 d=6.80928e-09 t=47733
ben 	笨	c=2 d=1.00256e-30 t=47733
ben bao gao 	本報告	c=1 d=0.00315111 t=47733
ben ci 	本次	c=1 d=6.77518e-09 t=47733
ben ci 	本茨	c=2 d=6.74139e-09 t=47733
ben di 	本地	c=25 d=1.23861 t=47733
ben lai 	本來	c=3 d=0.0411719 t=47733
ben niu 	笨牛	c=1 d=3.06893e-45 t=47733
ben sang 	奔喪	c=5 d=1.26705e-41 t=47733
ben shen 	本身	c=3 d=2.01059e-29 t=47733
ben wen 	本文	c=1 d=5.65874e-67 t=47733
ben zhou 	本週	c=14 d=0.00050296 t=47733
beng kui 	崩潰	c=2 d=7.50304e-33 t=47733
bi 	必	c=1 d=7.24768e-08 t=47733
bi 	比	c=16 d=0.282239 t=47733
bi 	逼	c=4 d=7.25261e-16 t=47733
bi du 	必讀	c=1 d=6.08268e-64 t=47733
bi gang cai 	比剛纔	c=1 d=8.26088e-18 t=47733
bi guan 	閉關	c=1 d=1.51747e-24 t=47733
bi ji 	筆記	c=4 d=9.25693e-26 t=47733
bi ji ben 	筆記本	c=3 d=2.28896e-07 t=47733
bi jiao 	比較	c=10 d=1.19175 t=47733
bi mian 	避免	c=2 d=2.55468e-05 t=47733
bi ni 	比你	c=1 d=1.43007e-32 t=47733
bi ren 	逼人	c=1 d=0.000347412 t=47733
bi ru 	比如	c=1 d=5.01645e-32 t=47733
bi wo 	比我	c=1 d=5.77011e-61 t=47733
bi yao 	必要	c=2 d=1.91358e-44 t=47733
bi yao 	碧瑤	c=1 d=4.38893e-48 t=47733
bi ye 	畢業	c=2 d=4.50477e-31 t=47733
bi zhi 	壁紙	c=1 d=1.05088e-25 t=47733
bian 	編	c=2 d=3.06975e-11 t=47733
bian 	變	c=12 d=4.62069e-05 t=47733
bian 	遍	c=4 d=8.62249e-21 t=47733
bian 	邊	c=6 d=0.353455 t=47733
bian cheng 	編程	c=6 d=7.83457e-11 t=47733
bian cheng 	變成	c=7 d=8.57436e-15 t=47733
bian de 	變得	c=1 d=1.87627e-21 t=47733
bian hao 	編號	c=47 d=0.904837 t=47733
bian hua 	變化	c=2 d=1.7407e-21 t=47733
bian ji 	編輯	c=21 d=0.353786 t=47733
bian ji qi 	編輯器	c=1 d=7.42712e-31 t=47733
bian ji qu 	編輯區	c=3 d=1.54155e-25 t=47733
bian jie 	邊界	c=1 d=1.18386e-15 t=47733
bian le 	變了	c=5 d=7.40164e-20 t=47733
bian li 	便利	c=1 d=1.00964e-54 t=47733
bian li 	遍歷	c=10 d=7.9955e-08 t=47733
bian liang 	變量	c=4 d=0.118245 t=47733
bian liang ming 	变量名	c=1 d=2.30082e-09 t=47733
bian ma 	編碼	c=11 d=0.375311 t=47733
bian mao 	邊貿	c=1 d=2.90164e-62 t=47733
bian yi 	編譯	c=6 d=0.10383 t=47733
bian yi qi 	編譯器	c=2 d=2.43452e-67 t=47733
bian yu 	便於	c=1 d=2.82952e-60 t=47733
biao 	彪	c=1 d=1.10307e-07 t=47733
biao 	標	c=13 d=0.000626971 t=47733
biao 	表	c=102 d=0.295457 t=47733
biao ben 	標本	c=1 d=6.4914e-35 t=47733
biao da shi 	表達式	c=4 d=3.50752e-13 t=47733
biao ge 	表格	c=11 d=1.33157e-16 t=47733
biao hong 	標紅	c=3 d=5.81787e-26 t=47733
biao ji 	標記	c=2 d=5.52126e-13 t=47733
biao jie gou 	表结构	c=1 d=4.52259e-48 t=47733
biao li 	表裏	c=4 d=8.76425e-08 t=47733
biao lv 	標綠	c=1 d=4.3843e-65 t=47733
biao mian 	表面	c=1 d=8.76723e-12 t=47733
biao qian 	標籤	c=6 d=1.46338e-08 t=47733
biao qing 	表情	c=1 d=5.3921e-58 t=47733
biao quan xian 	表權限	c=1 d=1.25075e-44 t=47733
biao shi 	標識	c=5 d=1.24515e-13 t=47733
